 eV        m 
 1.2398400 21521.9476110 
 1.2523636 20199.3892660 
 1.2651429 18958.1042614 
 1.2781856 17793.0982197 
 1.2915000 16699.6836756 
 1.3050947 15673.4612164 
 1.3189787 14710.3017801 
 1.3331613 13806.3300426 
 1.3476522 12957.9088243 
 1.3624615 12161.6244563 
 1.3776000 11414.2730454 
 1.3930787 10712.8475823 
 1.4089091 10054.5258437 
 1.4251034 9436.6590363 
 1.4416744 8856.7611393 
 1.4586353 8312.4989022 
 1.4760000 7801.6824561 
 1.4937831 7322.2565034 
 1.5120000 6872.2920476 
 1.5306667 6449.9786325 
 1.5498000 6053.6170568 
 1.5694177 5681.6125384 
 1.5895385 5332.4682968 
 1.6101818 5004.7795312 
 1.6313684 4697.2277681 
 1.6531200 4408.5755562 
 1.6754595 4137.6614875 
 1.6984110 3883.3955248 
 1.7220000 3644.7546150 
 1.7462535 3420.7785735 
 1.7712000 3210.5662205 
 1.7968696 3013.2717551 
 1.8232941 2828.1013524 
 1.8505075 2654.3099692 
 1.8785455 2491.1983465 
 1.9074462 2336.1605807 
 1.9372500 2195.6797076 
 1.9680000 2061.6322176 
 1.9997419 1933.8192004 
 2.0325246 1812.0413947 
 2.0664000 1696.1110000 
 2.1014237 1585.8320524 
 2.1376552 1481.0193120 
 2.1751579 1381.4914851 
 2.2140000 1287.0661454 
 2.2542545 1197.5671342 
 2.2960000 1112.8174937 
 2.3393208 1032.6486352 
 2.3843077 956.8908704 
 2.4310588 885.3800837 
 2.4796800 817.9542530 
 2.5302857 754.4552805 
 2.5830000 694.7265314 
 2.6379574 638.6171610 
 2.6953043 585.9767151 
 2.7552000 536.6597311 
 2.8178182 490.5234338 
 2.8833488 447.4278032 
 2.9520000 407.2359736 
 3.0240000 369.8149182 
 3.0996000 335.0340959 
 3.1790769 302.7663210 
 3.2627368 272.8873663 
 3.3509189 245.2764937 
 3.4440000 219.8158801 
 3.5424000 196.3908555 
 3.6465882 174.8899031 
 3.7570909 155.2047078 
 3.8745000 137.2299921 
 3.9994839 120.8637004 
 4.1328000 106.0069019 
